payroll_item_id,payroll_run_id,payroll_line_id,employee_snapshot_id,employee_id,person_id,employment_relationship_id,item_code,item_name,item_category,amount,currency,taxable,affects_net_pay,cost_company_id,source_object_type,source_object_id,applied_rule_ids,calculation_trace
PI_PL_202604_EMP011_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP011,ESNAP_202604_EMP011,EMP011,PER011,EREL_202604_EMP011,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP012_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP012,ESNAP_202604_EMP012,EMP012,PER012,EREL_202604_EMP012,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP013_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP013,ESNAP_202604_EMP013,EMP013,PER013,EREL_202604_EMP013,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP014_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP014,ESNAP_202604_EMP014,EMP014,PER014,EREL_202604_EMP014,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""BOSS"", ""split_rule_id"": ""SPLIT_02""}}"
PI_PL_202604_EMP015_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP015,ESNAP_202604_EMP015,EMP015,PER015,EREL_202604_EMP015,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""BOSS"", ""split_rule_id"": ""SPLIT_02""}}"
PI_PL_202604_EMP016_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP016,ESNAP_202604_EMP016,EMP016,PER016,EREL_202604_EMP016,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP016_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP016,ESNAP_202604_EMP016,EMP016,PER016,EREL_202604_EMP016,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_SCNY,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP016"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP017_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP017,ESNAP_202604_EMP017,EMP017,PER017,EREL_202604_EMP017,BASIC_SALARY,基本薪资,earning,6000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 6000.0, ""basic_salary_rate"": 0.6, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.4, ""performance_salary_base"": 4000.0, ""position"": ""部门负责人"", ""split_rule_id"": ""SPLIT_05""}}"
PI_PL_202604_EMP017_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP017,ESNAP_202604_EMP017,EMP017,PER017,EREL_202604_EMP017,PERFORMANCE_SALARY,绩效薪资,earning,4000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP017"", ""performance_salary"": 4000.0}}"
PI_PL_202604_EMP018_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP018,ESNAP_202604_EMP018,EMP018,PER018,EREL_202604_EMP018,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP018_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP018,ESNAP_202604_EMP018,EMP018,PER018,EREL_202604_EMP018,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP018"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP019_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP019,ESNAP_202604_EMP019,EMP019,PER019,EREL_202604_EMP019,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP019_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP019,ESNAP_202604_EMP019,EMP019,PER019,EREL_202604_EMP019,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP019"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP020_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP020,ESNAP_202604_EMP020,EMP020,PER020,EREL_202604_EMP020,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP020_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP020,ESNAP_202604_EMP020,EMP020,PER020,EREL_202604_EMP020,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP020"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP021_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP021,ESNAP_202604_EMP021,EMP021,PER021,EREL_202604_EMP021,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP021_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP021,ESNAP_202604_EMP021,EMP021,PER021,EREL_202604_EMP021,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP021"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP022_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP022,ESNAP_202604_EMP022,EMP022,PER022,EREL_202604_EMP022,BASIC_SALARY,基本薪资,earning,6000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 6000.0, ""basic_salary_rate"": 0.6, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.4, ""performance_salary_base"": 4000.0, ""position"": ""部门负责人"", ""split_rule_id"": ""SPLIT_05""}}"
PI_PL_202604_EMP022_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP022,ESNAP_202604_EMP022,EMP022,PER022,EREL_202604_EMP022,PERFORMANCE_SALARY,绩效薪资,earning,4000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP022"", ""performance_salary"": 4000.0}}"
PI_PL_202604_EMP023_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP023,ESNAP_202604_EMP023,EMP023,PER023,EREL_202604_EMP023,BASIC_SALARY,基本薪资,earning,6000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 6000.0, ""basic_salary_rate"": 0.6, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.4, ""performance_salary_base"": 4000.0, ""position"": ""部门负责人"", ""split_rule_id"": ""SPLIT_05""}}"
PI_PL_202604_EMP023_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP023,ESNAP_202604_EMP023,EMP023,PER023,EREL_202604_EMP023,PERFORMANCE_SALARY,绩效薪资,earning,4000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP023"", ""performance_salary"": 4000.0}}"
PI_PL_202604_EMP024_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP024,ESNAP_202604_EMP024,EMP024,PER024,EREL_202604_EMP024,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP024_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP024,ESNAP_202604_EMP024,EMP024,PER024,EREL_202604_EMP024,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP024"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP025_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP025,ESNAP_202604_EMP025,EMP025,PER025,EREL_202604_EMP025,BASIC_SALARY,基本薪资,earning,6000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 6000.0, ""basic_salary_rate"": 0.6, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.4, ""performance_salary_base"": 4000.0, ""position"": ""部门负责人"", ""split_rule_id"": ""SPLIT_05""}}"
PI_PL_202604_EMP025_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP025,ESNAP_202604_EMP025,EMP025,PER025,EREL_202604_EMP025,PERFORMANCE_SALARY,绩效薪资,earning,4000.0,CNY,1,1,COMP_SCNY,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP025"", ""performance_salary"": 4000.0}}"
PI_PL_202604_EMP026_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP026,ESNAP_202604_EMP026,EMP026,PER026,EREL_202604_EMP026,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP026_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP026,ESNAP_202604_EMP026,EMP026,PER026,EREL_202604_EMP026,PERFORMANCE_SALARY,绩效薪资,earning,3600.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.2, ""grade_rule_id"": ""PERF_RULE_02"", ""performance_grade"": ""B"", ""performance_record_id"": ""PERF_202604_EMP026"", ""performance_salary"": 3600.0}}"
PI_PL_202604_EMP027_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP027,ESNAP_202604_EMP027,EMP027,PER027,EREL_202604_EMP027,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP027_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP027,ESNAP_202604_EMP027,EMP027,PER027,EREL_202604_EMP027,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_SCNY,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP027"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP028_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP028,ESNAP_202604_EMP028,EMP028,PER028,EREL_202604_EMP028,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP028_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP028,ESNAP_202604_EMP028,EMP028,PER028,EREL_202604_EMP028,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_SCNY,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP028"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP028_OTHER_ADJUSTMENT,PAYROLL_202604,PL_202604_EMP028,ESNAP_202604_EMP028,EMP028,PER028,EREL_202604_EMP028,OTHER_ADJUSTMENT,其他补扣,deduction,321.84,CNY,1,1,,PayrollAdjustment,,payroll_gross_before_deduction_formula,"{""other_adjustment"": {""attendance_adjustment"": 0.0, ""basic_salary"": 7000.0, ""formula"": ""basic_salary + performance_salary + attendance_adjustment + other_adjustment"", ""other_adjustment"": -321.84, ""performance_salary"": 3000.0, ""result"": 9678.16}}"
PI_PL_202604_EMP029_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP029,ESNAP_202604_EMP029,EMP029,PER029,EREL_202604_EMP029,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP029_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP029,ESNAP_202604_EMP029,EMP029,PER029,EREL_202604_EMP029,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP029"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP030_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP030,ESNAP_202604_EMP030,EMP030,PER030,EREL_202604_EMP030,BASIC_SALARY,基本薪资,earning,6000.0,CNY,1,1,COMP_JS,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 6000.0, ""basic_salary_rate"": 0.6, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.4, ""performance_salary_base"": 4000.0, ""position"": ""部门负责人"", ""split_rule_id"": ""SPLIT_05""}}"
PI_PL_202604_EMP030_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP030,ESNAP_202604_EMP030,EMP030,PER030,EREL_202604_EMP030,PERFORMANCE_SALARY,绩效薪资,earning,4000.0,CNY,1,1,COMP_JS,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP030"", ""performance_salary"": 4000.0}}"
PI_PL_202604_EMP031_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP031,ESNAP_202604_EMP031,EMP031,PER031,EREL_202604_EMP031,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP031_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP031,ESNAP_202604_EMP031,EMP031,PER031,EREL_202604_EMP031,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP031"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP032_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP032,ESNAP_202604_EMP032,EMP032,PER032,EREL_202604_EMP032,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
PI_PL_202604_EMP032_PERFORMANCE_SALARY,PAYROLL_202604,PL_202604_EMP032,ESNAP_202604_EMP032,EMP032,PER032,EREL_202604_EMP032,PERFORMANCE_SALARY,绩效薪资,earning,3000.0,CNY,1,1,COMP_NDSC,PerformanceGradeRule,,payroll_performance_salary_formula,"{""performance_salary"": {""coefficient"": 1.0, ""grade_rule_id"": ""PERF_RULE_03"", ""performance_grade"": ""C"", ""performance_record_id"": ""PERF_202604_EMP032"", ""performance_salary"": 3000.0}}"
PI_PL_202604_EMP033_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP033,ESNAP_202604_EMP033,EMP033,PER033,EREL_202604_EMP033,BASIC_SALARY,基本薪资,earning,7000.0,CNY,1,1,COMP_NDSC,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 7000.0, ""basic_salary_rate"": 0.7, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.3, ""performance_salary_base"": 3000.0, ""position"": ""员工"", ""split_rule_id"": ""SPLIT_06""}}"
