tax_ledger_id,employee_id,payroll_run_id,tax_period,tax_entity_company_id,current_income,cumulative_income,cumulative_deductions,cumulative_basic_deduction,cumulative_taxable_income,cumulative_tax_payable,previous_cumulative_tax_withheld,current_tax,source,reconciliation_status,applied_rule_ids,calculation_trace
TAX_202605_EMP034,EMP034,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP052,EMP052,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP053,EMP053,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP082,EMP082,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP087,EMP087,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP096,EMP096,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP098,EMP098,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP105,EMP105,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP110,EMP110,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP123,EMP123,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP126,EMP126,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP148,EMP148,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP149,EMP149,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP166,EMP166,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP167,EMP167,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP170,EMP170,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP171,EMP171,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP182,EMP182,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP186,EMP186,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP188,EMP188,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP014,EMP014,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP017,EMP017,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP018,EMP018,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP019,EMP019,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP020,EMP020,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP021,EMP021,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP022,EMP022,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP023,EMP023,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP024,EMP024,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP026,EMP026,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP029,EMP029,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP031,EMP031,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP032,EMP032,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP033,EMP033,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP035,EMP035,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP036,EMP036,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP037,EMP037,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP038,EMP038,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP039,EMP039,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP040,EMP040,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP042,EMP042,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP043,EMP043,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP044,EMP044,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP045,EMP045,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP046,EMP046,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP047,EMP047,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP048,EMP048,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP049,EMP049,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP050,EMP050,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP051,EMP051,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP054,EMP054,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP055,EMP055,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP056,EMP056,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP057,EMP057,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP058,EMP058,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP060,EMP060,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP061,EMP061,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP062,EMP062,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP063,EMP063,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP064,EMP064,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP065,EMP065,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP066,EMP066,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP067,EMP067,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP068,EMP068,PAYROLL_202604,2026-05,COMP_NDSC,,1000.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP069,EMP069,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP070,EMP070,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP071,EMP071,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP072,EMP072,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP073,EMP073,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP074,EMP074,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP075,EMP075,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP076,EMP076,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP077,EMP077,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP078,EMP078,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP079,EMP079,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP080,EMP080,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP081,EMP081,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP083,EMP083,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP084,EMP084,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP085,EMP085,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP086,EMP086,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP088,EMP088,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP089,EMP089,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP090,EMP090,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,395.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP091,EMP091,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP092,EMP092,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP093,EMP093,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP094,EMP094,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP095,EMP095,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP097,EMP097,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP099,EMP099,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP100,EMP100,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP101,EMP101,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP103,EMP103,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP104,EMP104,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP106,EMP106,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP107,EMP107,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP108,EMP108,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP109,EMP109,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP111,EMP111,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP112,EMP112,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP113,EMP113,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP114,EMP114,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP115,EMP115,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP116,EMP116,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP117,EMP117,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP118,EMP118,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP119,EMP119,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP120,EMP120,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP121,EMP121,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP122,EMP122,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP124,EMP124,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP125,EMP125,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP127,EMP127,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP128,EMP128,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP129,EMP129,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP130,EMP130,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP131,EMP131,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP132,EMP132,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP133,EMP133,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP134,EMP134,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP135,EMP135,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP136,EMP136,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP137,EMP137,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP138,EMP138,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP139,EMP139,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP140,EMP140,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP141,EMP141,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP142,EMP142,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP143,EMP143,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP144,EMP144,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,137.27,,historical_input_from_excel,待计算,,
TAX_202605_EMP145,EMP145,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP146,EMP146,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP147,EMP147,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP150,EMP150,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP151,EMP151,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP152,EMP152,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,44.1,,historical_input_from_excel,待计算,,
TAX_202605_EMP153,EMP153,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP154,EMP154,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP155,EMP155,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP156,EMP156,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP157,EMP157,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP158,EMP158,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP159,EMP159,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP160,EMP160,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP161,EMP161,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP162,EMP162,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP163,EMP163,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP164,EMP164,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP165,EMP165,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP168,EMP168,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP169,EMP169,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP172,EMP172,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP173,EMP173,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP174,EMP174,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP175,EMP175,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP176,EMP176,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP177,EMP177,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP181,EMP181,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP183,EMP183,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP184,EMP184,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP185,EMP185,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP187,EMP187,PAYROLL_202604,2026-05,COMP_NDSC,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
